City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Hermon,US,88.83,broken clouds,44.8101,-68.9134,Pumpkin Patch RV Resort
244,Tawau,MY,75.33,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
245,Hyeres,FR,87.48,clear sky,43.1167,6.1167,Hôtel des Palmiers
246,Lorengau,PG,80.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
247,Kashi,CN,88.23,broken clouds,39.4547,75.9797,帕米尔青年旅舍
252,Pundaguitan,PH,82.26,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
253,San Ramon,US,78.08,clear sky,37.7799,-121.978,San Ramon Marriott
256,Malakal,SS,82.72,broken clouds,9.5334,31.6605,Nile Palace Hotel
260,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
261,Qui Nhon,VN,81.39,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
264,Glendive,US,76.95,broken clouds,47.1053,-104.7125,Baymont by Wyndham Glendive
269,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
273,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
276,Novocheboksarsk,RU,82.96,few clouds,56.111,47.4776,"Salampi, sanatorium"
277,Benghazi,LY,83.79,clear sky,32.1167,20.0667,Tibesti Hotel
280,Panama City,PA,89.13,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
287,Keti Bandar,PK,83.93,scattered clouds,24.1447,67.4497,Haji laloo memon house
288,Bintulu,MY,75.61,moderate rain,3.1667,113.0333,900 Boutique INN
294,Sur,OM,85.66,clear sky,22.5667,59.5289,Sur Plaza Hotel
296,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
298,Oyo,NG,77.61,broken clouds,7.85,3.9333,Gold N Rock Hotel Nigeria Limited
299,Sinnamary,GF,82.6,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
301,Sioux Lookout,CA,77.38,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
303,Utiel,ES,83.03,clear sky,39.5667,-1.2,Hotel Restaurante El Tollo
313,Ajdabiya,LY,85.66,clear sky,30.7554,20.2263,Almadina Hotel
316,Kloulklubed,PW,83.44,broken clouds,7.0419,134.2556,Storyboard Beach Resort
320,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
321,Vung Tau,VN,83.25,broken clouds,10.346,107.0843,Green hotel
322,Bull Savanna,JM,84.18,overcast clouds,17.8868,-77.5902,Big Red's
324,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
326,Paciran,ID,79.07,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
328,Yelets,RU,76.55,scattered clouds,52.6237,38.5017,Elets Hotel
329,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
332,Hirara,JP,83.34,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
