City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
368,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,8.05,clear sky
369,Forestville,US,38.8451,-76.875,91.49,65,75,12.66,broken clouds
370,Spearfish,US,44.4908,-103.8594,73.85,50,77,3.0,light rain
371,Moa,CU,20.6569,-74.9403,86.77,65,23,11.54,few clouds
372,Asau,RO,46.4333,26.4,72.52,93,40,1.79,scattered clouds
373,Lianran,CN,24.9227,102.485,68.54,96,100,3.04,overcast clouds
374,Itaituba,BR,-4.2761,-55.9836,91.56,55,40,1.23,scattered clouds
375,Bilibino,RU,68.0546,166.4372,68.05,46,91,4.12,overcast clouds
376,Serro,BR,-18.6047,-43.3794,73.69,37,16,6.35,few clouds
377,Lubsko,PL,51.7847,14.972,77.88,56,84,1.95,broken clouds
378,Bonavista,CA,48.6499,-53.1147,64.4,84,100,18.3,light rain
379,Mound,US,44.9366,-93.6661,78.78,71,67,5.99,broken clouds
380,Vikulovo,RU,56.8167,70.6107,59.95,96,35,6.38,scattered clouds
381,Kirakira,SB,-10.4544,161.9205,77.56,82,94,10.63,overcast clouds
382,Dawlatabad,AF,36.4141,64.9053,85.69,13,1,5.5,clear sky
383,Sola,VU,-13.8833,167.55,79.83,71,89,16.31,overcast clouds
384,Lerwick,GB,60.1545,-1.1494,51.8,82,95,13.8,overcast clouds
385,Lavrentiya,RU,65.5833,-171.0,46.71,84,43,4.54,scattered clouds
386,Marsh Harbour,BS,26.5412,-77.0636,82.15,68,4,14.81,clear sky
387,Bambanglipuro,ID,-7.95,110.2833,57.6,89,65,3.24,broken clouds
388,Yakeshi,CN,49.2833,120.7333,60.15,87,33,3.11,scattered clouds
389,Ambulu,ID,-8.345,113.6058,75.49,92,32,3.24,scattered clouds
390,Yulara,AU,-25.2406,130.9889,46.24,61,51,6.91,broken clouds
391,Meridian,US,43.6121,-116.3915,92.84,26,1,1.01,clear sky
392,Tapes,BR,-30.6733,-51.3958,55.13,79,100,12.37,overcast clouds
393,Le Robert,MQ,14.6775,-60.9392,87.85,28,75,16.11,broken clouds
394,Kahului,US,20.8947,-156.47,78.84,82,40,6.91,scattered clouds
395,Nacala,MZ,-14.5428,40.6728,70.99,69,10,6.22,clear sky
396,Pemangkat,ID,1.1667,108.9667,76.96,85,99,3.38,light rain
397,Tupelo,US,34.2576,-88.7034,89.26,58,20,8.01,few clouds
398,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,75,10.69,fog
399,Rudbar,AF,30.15,62.6,91.35,10,0,5.32,clear sky
400,Obo,CF,5.3998,26.4869,70.39,83,90,2.44,overcast clouds
401,Luderitz,NA,-26.6481,15.1594,56.93,71,2,4.29,clear sky
402,Payo,ID,-3.7508,103.6372,71.87,97,68,2.39,broken clouds
403,Airai,TL,-8.9266,125.4092,56.17,89,62,3.83,broken clouds
404,Batsfjord,NO,70.6345,29.7185,57.42,94,100,5.14,overcast clouds
405,Balabac,PH,7.9868,117.0645,81.36,78,97,5.95,overcast clouds
406,Karratha,AU,-20.7377,116.8463,65.5,67,5,6.13,clear sky
407,Susangerd,IR,31.5608,48.1831,100.42,7,0,9.26,clear sky
408,Am Timan,TD,11.0297,20.2827,85.68,46,100,5.55,overcast clouds
409,Pitsunda,GE,43.1592,40.3378,77.18,85,7,3.24,clear sky
410,Kavaratti,IN,10.5669,72.642,81.7,80,92,14.83,overcast clouds
411,Bandarbeyla,SO,9.4942,50.8122,77.63,83,66,27.6,broken clouds
412,Lata,PT,40.1629,-8.3327,71.04,48,4,11.77,clear sky
413,Sisimiut,GL,66.9395,-53.6735,41.23,97,100,2.59,light rain
414,Tourlaville,FR,49.6383,-1.5664,66.79,70,75,10.36,moderate rain
415,Polunochnoye,RU,60.8697,60.4153,64.69,67,91,2.57,overcast clouds
416,Opuwo,NA,-18.0607,13.84,66.42,19,1,6.71,clear sky
417,Jilib,SO,0.4883,42.7854,73.11,85,48,5.37,scattered clouds
418,Xinxiang,CN,35.3089,113.8672,82.04,61,13,1.83,few clouds
419,Mao,ES,39.8885,4.2658,81.16,47,0,6.91,clear sky
420,Fayaoue,NC,-20.65,166.5333,75.11,73,61,12.15,broken clouds
421,Saint-Augustin,CA,51.226,-58.6502,57.4,95,98,8.57,overcast clouds
422,Ketchikan,US,55.3422,-131.6461,75.52,63,2,5.99,clear sky
423,Goundam,ML,16.4145,-3.6708,106.32,14,78,4.63,broken clouds
424,Malatya,TR,38.5,38.0,84.25,25,20,14.97,few clouds
425,Inirida,CO,3.8653,-67.9239,84.69,67,84,3.74,broken clouds
426,Zhicheng,CN,30.2956,111.5047,79.5,88,100,2.42,light rain
427,Imperial Beach,US,32.5839,-117.1131,95.94,72,1,4.0,clear sky
428,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,93,90,9.22,mist
429,Yar-Sale,RU,66.8333,70.8333,52.39,60,100,5.46,overcast clouds
430,Crateus,BR,-5.1783,-40.6775,93.92,23,40,6.11,scattered clouds
431,Madina,GH,5.6823,-0.1641,80.56,83,40,4.61,scattered clouds
432,Kapoeta,SS,4.7717,33.5903,85.03,35,91,17.45,overcast clouds
433,Chinchani,IN,19.8667,72.7,82.54,82,100,8.61,light rain
434,Port Macquarie,AU,-31.4333,152.9167,45.37,76,0,6.6,clear sky
435,Mamou,GN,10.5,-12.0,77.63,84,27,6.33,light rain
436,Kazachinskoye,RU,57.6953,93.2761,50.97,98,95,5.39,overcast clouds
437,Tual,ID,-5.6667,132.75,81.12,79,29,18.48,scattered clouds
438,Olafsvik,IS,64.8945,-23.7142,49.62,94,100,6.11,overcast clouds
439,La Rioja,ES,42.25,-2.5,73.04,64,98,6.06,overcast clouds
440,Evensk,RU,61.95,159.2333,57.79,76,76,0.51,broken clouds
441,Gambela,ET,8.25,34.5833,69.51,96,83,7.25,light rain
442,Ugoofaaru,MV,5.6667,73.0,80.47,77,100,7.58,heavy intensity rain
443,Butterworth,MY,5.3991,100.3638,80.64,92,40,1.01,scattered clouds
444,Esik,KZ,43.3552,77.4525,62.02,37,13,8.16,few clouds
445,La Asuncion,VE,11.0333,-63.8628,85.73,70,66,21.85,broken clouds
446,Madaoua,NE,14.073,5.96,98.49,28,0,15.9,clear sky
447,Bratsk,RU,56.1325,101.6142,55.89,81,96,2.51,light rain
448,Cumpas,MX,29.9833,-109.7833,96.89,19,0,5.12,clear sky
449,Ponta Delgada,PT,37.7333,-25.6667,70.52,94,75,12.66,broken clouds
450,Bogo,PH,11.0517,124.0055,80.65,77,98,4.07,overcast clouds
451,Mareeba,AU,-17.0,145.4333,66.92,88,66,2.42,broken clouds
452,Kirovskiy,RU,45.0917,133.5136,61.45,93,24,1.54,few clouds
453,Ulaangom,MN,49.9811,92.0667,57.94,50,76,11.27,broken clouds
454,Rovaniemi,FI,66.5,25.7167,65.61,42,0,12.66,clear sky
455,Astoria,US,46.1879,-123.8313,95.7,51,0,5.86,clear sky
456,Uyuni,BO,-20.4597,-66.825,45.34,18,50,21.07,scattered clouds
457,Dhidhdhoo,MV,6.8833,73.1,82.76,74,100,11.77,overcast clouds
458,Boralday,KZ,43.3578,76.8594,66.06,39,20,4.47,few clouds
459,Vallenar,CL,-28.5708,-70.7581,67.91,18,0,2.13,clear sky
460,Sindou,BF,10.6667,-5.1667,88.83,48,28,4.52,scattered clouds
461,Valparaiso,CL,-33.0393,-71.6273,64.63,26,0,5.75,clear sky
462,Porto-Vecchio,FR,41.591,9.2795,83.86,48,0,10.36,clear sky
463,Wajir,KE,1.7471,40.0573,85.96,42,75,4.61,broken clouds
464,Kavieng,PG,-2.5744,150.7967,80.4,79,100,5.41,moderate rain
465,Korla,CN,41.7597,86.1469,79.48,9,7,16.13,clear sky
466,Ullapool,GB,57.8987,-5.1604,64.76,73,76,5.17,broken clouds
